comment_id,teks_komentar,teks_preprocessed,jumlah_duplikat_teks,is_spam_candidate,tanggal_komentar,username,post_tanggal,sumber,Label_Sentimen,teks_bersih
17929291323250896,Motor listrik sama tablet buat apa ANJINGGG !!!,motor listrik tablet anjinggg,1,False,2026-04-12 00:03:49+00:00,doyyxx,2026-01-26,IG @badangizinasional.ri,Kontra,motor listrik sama tablet untuk apa anjinggg
17914480896128470,"Keracunan  MBG di Indonesia 2026 :

08/01/26 di Semarang (75)
09/01/26 di Grobogan (803)
10/01/26 di Mojokerto (411)
12/01/26 di Majene (61)
12/01/26 di Wonogiri (206)
13/01/26 di Pekalongan (15)
13/01/26 di Siak, Riau (21)
17/01/26 di Lombok Tengah (38)
20/01/26 di Tulungagung (123)
20/01/26 di Kulon Progo (104)
21/01/26 di Magelang (80)
22/01/26 di Tulungagung (15)
23/01/26 di Aceh Timur (19) 
23/01/26 di Tulungagung 
23/01/26 di Gunungkidul (57)
26/01/26 di Tomohon (180)
27/01/26 di Cianjur (300)
27/01/26 di Tuban (14)
28/01/26 di Sukabumi (19)
28/01/26 di Buol, Sulteng (141)
28/01/26 di Kudus (600)
29/01/26 di Manggarai Barat (132)
30/01/26 di Grobogan (8)
30/01/26 di Muaro Jambi (45)",racun makan gizi gratis indonesia semarang grobogan mojokerto majene wonogiri kalong siak riau lombok tengah tulungagung kulon progo magelang tulungagung aceh timur tulungagung gunungkidul tomohon cianjur tuban sukabumi buol sulteng kudus manggarai barat grobogan muaro jambi,2,False,2026-02-01 04:28:16+00:00,emilkrebs.id,2026-01-26,IG @badangizinasional.ri,Kontra,keracunan makan bergizi gratis di indonesia di semarang di grobogan di mojokerto di majene di wonogiri di pekalongan di siak riau di lombok tengah di tulungagung di kulon progo di magelang di tulungagung di aceh timur di tulungagung di gunungkidul di tomohon di cianjur di tuban di sukabumi di buol sulteng di kudus di manggarai barat di grobogan di muaro jambi
18163907278422462,program sampahh bubarkan mbg,program sampahh bubar makan gizi gratis,1,False,2026-04-08 18:15:27+00:00,fito.roberto,2026-01-26,IG @badangizinasional.ri,Kontra,program sampahh bubarkan makan bergizi gratis
17898938850399832,#bubarkanmbg program sampah,program sampah,1,False,2026-02-28 01:07:31+00:00,riasaud,2026-01-26,IG @badangizinasional.ri,Kontra,program sampah
18143290639463137,"Yang di shoot:
 🍛🧆🍲🍤🍳🍓🍌🍊🥑🍍
Realitanya:
☠️🤮🤢",shoot realitanya,1,False,2026-02-25 08:30:16+00:00,junisatya,2026-01-26,IG @badangizinasional.ri,Kontra,yang di shoot realitanya
17891524710406655,Bubarkan MBG,bubar makan gizi gratis,39,True,2026-01-27 21:14:52+00:00,arif942010,2026-01-26,IG @badangizinasional.ri,Kontra,bubarkan makan bergizi gratis
18169281223392384,Bubarkan mbg semua bahan pokok dipasar naik!!!,bubar makan gizi gratis bahan pokok pasar naik,1,False,2026-02-25 12:02:39+00:00,ranss_31,2026-01-26,IG @badangizinasional.ri,Kontra,bubarkan makan bergizi gratis semua bahan pokok dipasar naik
17904753774205934,Si Botak Kon..,si botak kon,1,False,2026-03-02 08:06:30+00:00,tiendar.kris.menjoy,2026-01-26,IG @badangizinasional.ri,Kontra,si botak kon
17887138815328632,Mana daging sapinya ? Mana lele nya ? Mana ????????,mana daging sapi mana lele mana,1,False,2026-02-25 22:00:16+00:00,adetia_budiman,2026-01-26,IG @badangizinasional.ri,Kontra,mana daging sapinya mana lele nya mana
17957533266054822,masih sekecil itu sudah dibodohi pemerintah😂,kecil bodoh perintah,1,False,2026-01-26 12:39:50+00:00,qwerty.64873,2026-01-26,IG @badangizinasional.ri,Kontra,masih sekecil itu sudah dibodohi pemerintah
18142227823489691,Pak botak tolong kau liat itu dilapangan menu MBG GAK JELAS. Stop MBG gak guna !!!,botak tolong kau liat lapang menu makan gizi gratis jelas stop makan gizi gratis guna,1,False,2026-02-25 12:39:57+00:00,yanida_bahri,2026-01-26,IG @badangizinasional.ri,Kontra,pak botak tolong kau liat itu dilapangan menu makan bergizi gratis tidak jelas stop makan bergizi gratis tidak guna
17972301122868207,PROGAM RA MUTU BLAS !,progam ra mutu blas,1,False,2026-02-13 02:08:14+00:00,_ashyddiqi,2026-01-26,IG @badangizinasional.ri,Kontra,progam ra mutu blas
18579874510005003,"Saya Pedagang Ayam Goreng Kecil kecilan semenjak ada MBG harga Ayam Tinggi Banget ga pernah turun lagi TOLONG Pak @prabowo @gibran_rakabuming Belum bahan pendukung lain jadi pada mahal kata SUPLIER sy Karna ada ROGRAM MBG jadi mahal, Bisa Ga pak menormalkan harga ayam dan bahan pokok semula lagi? sy juga punya anak dapat MBG tapi tidak sebanding dengan keuntungan jualan yg banyak berkurang karna serba mahal setelah MBG ada. Semoga Pak Presiden @prabowo  yang Terhormat Mendengarkan keluhan dan keresahan Masyarakat Indonesia juga bukan cuman fokus sama MBGnya .",dagang ayam goreng kecil kecil semenjak makan gizi gratis harga ayam tinggi turun tolong bahan dukung mahal kata suplier rogram makan gizi gratis mahal normal harga ayam bahan pokok mula anak dapat makan gizi gratis tapi banding untung jual kurang serba mahal makan gizi gratis moga presiden hormat dengar keluh resah masyarakat indonesia cuman fokus mbgnya,1,False,2026-03-25 22:26:22+00:00,deskaayulian,2026-01-26,IG @badangizinasional.ri,Kontra,saya pedagang ayam goreng kecil kecilan semenjak ada makan bergizi gratis harga ayam tinggi banget tidak pernah turun lagi tolong pak belum bahan pendukung lain jadi pada mahal kata suplier saya karena ada rogram makan bergizi gratis jadi mahal bisa tidak pak menormalkan harga ayam dan bahan pokok semula lagi saya juga punya anak dapat makan bergizi gratis tapi tidak sebanding dengan keuntungan jualan yang banyak berkurang karena serba mahal setelah makan bergizi gratis ada semoga pak presiden yang terhormat mendengarkan keluhan dan keresahan masyarakat indonesia juga bukan cuman fokus sama mbgnya
18106282396694906,"MBG macam Apa ini, hari ini tanggal 23 Februari 2026 di Desa Karangalangu Kecamatan Kedungjati kabupaten Grobogan : Telur ayam Rebus, Kurma tiga biji, Susu kemasan ULTRA MILK 125miLiLiter ,Roti. (edan)",makan gizi gratis macam hari tanggal februari desa karangalangu camat kedungjati kabupaten grobogan telur ayam rebus kurma tiga biji susu kemas ultra milk mililiter roti edan,2,False,2026-02-23 08:21:33+00:00,ahmadzani1122,2026-01-26,IG @badangizinasional.ri,Kontra,makan bergizi gratis macam apa ini hari ini tanggal februari di desa karangalangu kecamatan kedungjati kabupaten grobogan telur ayam rebus kurma tiga biji susu kemasan ultra milk mililiter roti edan
18392233477151847,"WHEN SATAN RULES THIS WORLD, contoh MBG yang dikelola oleh @badangizinasional.ri",when sat rules this world contoh makan gizi gratis kelola ri,4,True,2026-02-07 02:09:44+00:00,judas.messiah,2026-01-26,IG @badangizinasional.ri,Kontra,when satan rules this world contoh makan bergizi gratis yang dikelola oleh ri
18536203738066495,STOP MBG😢,stop makan gizi gratis,1,False,2026-03-11 01:56:08+00:00,lnyaldiana,2026-01-26,IG @badangizinasional.ri,Kontra,stop makan bergizi gratis
18116132248612937,Preketek... Isinya ultraprocessed food👎,preketek isi ultraprocessed food,1,False,2026-01-27 23:50:23+00:00,durarinkz,2026-01-26,IG @badangizinasional.ri,Kontra,preketek isinya ultraprocessed food
17907942783359882,Hapus aja MBG. Mubazir dibuang makanannya. Menguntungkan yang punya proyek. Yang punya MBG wong2 sugih,hapus makan gizi gratis mubazir buang makan untung proyek makan gizi gratis wong sugih,1,False,2026-03-11 02:13:05+00:00,nzdonabella,2026-01-26,IG @badangizinasional.ri,Kontra,hapus saja makan bergizi gratis mubazir dibuang makanannya menguntungkan yang punya proyek yang punya makan bergizi gratis wong sugih
17975294330850652,hentikan MBG... hentikan korupsi sistematis😢😢😢,henti makan gizi gratis henti korupsi sistematis,1,False,2026-04-10 07:51:17+00:00,twwahyudi,2026-01-26,IG @badangizinasional.ri,Kontra,hentikan makan bergizi gratis hentikan korupsi sistematis
18458104090102133,Makin banyak dikritik makin jor-joran anggarannya..😂,makin kritik makin jorjoran anggar,1,False,2026-04-07 14:23:02+00:00,mr_ilman_huda,2026-01-26,IG @badangizinasional.ri,Kontra,makin banyak dikritik makin jorjoran anggarannya
17950585311137154,Superindo aja yg ngelola mbg lebih menarik dan enak,superindo ngelola makan gizi gratis tarik enak,1,False,2026-04-12 15:19:31+00:00,williamlimanto,2026-01-26,IG @badangizinasional.ri,Kontra,superindo saja yang ngelola makan bergizi gratis lebih menarik dan enak
